ANO;MÊS;CONSUMO-KWH; VALOR BRUTO DA FATURA 
2017;Junho;27530;R$ 17.910,77
2017;Julho;30343;R$ 17.686,84
2017;Agosto;30997;R$ 19.449,47
2017;Setembro;36316;R$ 21.949,20
2017;Outubro;33980;R$ 21.031,11
2017;Novembro;37974;R$ 24.248,99
2017;Dezembro;32690;R$ 21.272,47
2018;Janeiro;32442;R$ 20.044,50
2018;Fevereiro;35069;R$ 20.913,24
2018;Março;32019;R$ 20.168,37
2018;Abril;36240;R$ 21.621,03
2018;Maio;32580;R$ 20.449,46
2018;Junho;30841;R$ 20.165,24
2018;Julho;31459;R$ 23.217,76
2018;Agosto;32177;R$ 23.448,02
2018;Setembro;36265;R$ 26.292,22
2018;Outubro;38828;R$ 28.505,06
2018;Novembro;36757;R$ 27.423,28
2018;Dezembro;31980;R$ 23.248,62
2019;Janeiro;31268;R$ 22.371,79
2019;Fevereiro;33907;R$ 24.410,83
2019;Março;27122;R$ 20.167,49
2019;Abril;27918;R$ 21.022,69
2019;Maio;32601;R$ 24.098,90
2019;Junho;23736;R$ 17.800,02
2019;Julho;23056;R$ 17.722,82
2019;Agosto;25585;R$ 19.781,06
2019;Setembro;28561;R$ 22.386,16
2019;Outubro;30524;R$ 23.220,25
2019;Novembro;29876;R$ 21.549,51
2019;Dezembro;26202;R$ 18.908,26
2020;Janeiro;28645;R$ 19.886,87
2020;Fevereiro;27221;R$ 18.554,91
2020;Março;24849;R$ 16.900,57
2020;Abril;27916;R$ 19.009,12
2020;Maio;24842;R$ 16.622,13
2020;Junho;26004;R$ 17.732,50
2020;Julho;24734;R$ 17.016,90
2020;Agosto;24771;R$ 16.785,62
2020;Setembro;29433;R$ 19.413,81
2020;Outubro;29593;R$ 19.545,51
2020;Novembro;26986;R$ 17.662,39
2020;Dezembro;28087;R$ 19.661,17
2021;Janeiro;21194;R$ 14.024,46
2021;Fevereiro;29452;R$ 17.015,30
2021;Março;20498;R$ 14.735,47
2021;Abril;29213;R$ 19.332,41
2021;Maio;6721;R$ 21.198,88
2021;Junho;27387;R$ 19.433,56
2021;Julho;27034;R$ 20.291,18
2021;Agosto;24604;R$ 20.275,07
2021;Setembro;20897;R$ 17.654,75
2021;Outubro;28962;R$ 23.821,32
2021;Novembro;28228;R$ 24.552,69
2021;Dezembro;24803;R$ 23.922,77
2022;Janeiro;26557;R$ 25.243,82
2022;Fevereiro;27238;R$ 25.872,12
2022;Março;25711;R$ 23.628,83
2022;Abril;30859;R$ 28.956,23
2022;Maio;29077;R$ 23.199,08
2022;Junho;27897;R$ 19.986,58
2022;Julho;25297;R$ 16.832,56
2022;Agosto;24797;R$ 16.437,68
2022;Setembro;27251;R$ 17.734,82
2022;Outubro;28029;R$ 18.838,54
2022;Novembro;32811;R$ 22.324,50
2022;Dezembro;23592;R$ 20.953,78
2023;Janeiro;24660;R$ 20.686,36
2023;Fevereiro;22556;R$ 19.017,67
2023;Março;21695;R$ 18.374,04
2023;Abril;19669;R$ 16.420,66
2023;Maio;17630;R$ 15.237,89
2023;Junho;16638;R$ 14.712,32
2023;Julho;17686;R$ 15.427,35
2023;Agosto;21814;R$ 16.275,94
2023;Setembro;21512;R$ 17.988,00
2023;Outubro;22623;R$ 17.618,96
2023;Novembro;28622;R$ 21.616,56
2023;Dezembro;31830;R$ 22.900,05
2024;Janeiro;26490;R$ 22.328,63
2024;Fevereiro;20509;R$ 18.259,19
2024;Março;19011;R$ 18.081,10
2024;Abril;20599;R$ 19.107,35
2024;Maio;18097;R$ 17.970,58
2024;Junho;19849;R$ 18.844,90
2024;Julho;17316;R$ 16.575,76
2024;Agosto;20542;R$ 19.303,43
2024;Setembro;21843;R$ 20.162,10
